user_id,item_id,playing_time_ms,duration_ms
0,34,1024,118993
0,40,1623,91840
0,2,1528,25266
0,8,1287,150233
0,4,1419,169500
0,31,1098,87400
0,3,1490,12000
0,52,848,68400
0,25,1324,140720
0,59,1014,123350
0,21,1050,149933
0,38,1241,113933
0,41,753,17633
0,19,2104,13933
0,56,1605,22900
0,30,1146,206933
0,24,1065,46000
0,9,2142,37616
0,17,750,38200
0,55,690,213433
0,29,1163,111233
0,39,1156,104916
0,37,450,110800
0,6,1704,7600
0,26,832,36733
0,50,1065,32150
0,18,1533,134734
0,1,1190,132433
0,48,986,123333
0,0,863,30066
0,10,1162,40633
0,43,1412,26840
0,14,1120,19866
0,20,1075,156120
0,44,1542,169433
0,7,1409,16966
0,54,927,15033
0,36,609,83133
0,12,986,31103
0,15,1486,94933
0,49,774,310000
0,16,947,41000
1,66,6129,20500
1,64,3481,7450
1,62,1845,39280
1,67,2496,24650
1,69,24792,96466
1,78,1429,85733
1,68,1809,123866
1,77,4127,33533
1,79,1530,136766
1,74,2461,111716
1,61,2345,14800
1,72,1927,29000
1,63,1471,79350
1,76,3895,87083
1,75,3806,11666
2,85,4185,121400
2,91,1554,11066
2,107,1666,156966
2,88,1190,125040
2,90,3540,117100
2,123,5949,36566
2,103,3239,146433
2,106,3360,18400
2,83,4617,105062
2,82,5809,7916
2,108,1290,120533
2,111,689,89320
2,122,28262,27900
2,84,146853,326466
2,101,3344,253366
2,125,9627,88000
2,113,3781,29560
2,100,27732,100450
2,102,5914,9142
2,86,43207,35600
2,89,1867,15033
2,94,41808,116933
2,119,2079,197200
2,97,1474,30208
2,126,4068,36133
2,92,4889,201166
2,96,3936,240533
2,124,3355,41041
2,112,18141,14700
2,120,2111,18800
2,98,2453,84334
2,99,6045,66966
3,196,3419,421400
3,131,2271,190166
3,179,1701,19166
3,148,2718,141160
3,194,1561,29280
3,137,2061,176800
3,156,1445,253533
3,193,1268,7500
3,132,1547,173633
3,178,3868,198666
3,158,1987,17200
3,176,2482,223866
