user_id,item_id,playing_time_ms,duration_ms
0,35,910,68880
0,46,1148,215200
0,14,1120,19866
0,54,927,15033
0,56,1605,22900
0,39,1156,104916
0,26,832,36733
0,50,1065,32150
0,4,1419,169500
0,3,1490,12000
0,13,1513,87366
0,55,690,213433
0,9,2142,37616
0,10,1162,40633
0,7,1409,16966
0,36,609,83133
0,25,1324,140720
0,6,1704,7600
0,20,1075,156120
0,41,753,17633
0,42,724,146200
0,0,863,30066
0,59,1014,123350
0,17,750,38200
0,53,1108,16033
0,21,1050,149933
0,38,1241,113933
0,57,1079,201440
0,47,762,73016
0,51,179,84366
0,24,1065,46000
0,33,798,82700
0,28,994,14733
0,1,1190,132433
0,12,986,31103
0,37,450,110800
0,58,686,65382
0,48,986,123333
0,23,1100,248800
0,45,928,6966
0,49,774,310000
0,44,1542,169433
1,61,2345,14800
1,63,1471,79350
1,64,3481,7450
1,70,16920,15250
1,81,1857,31206
1,72,1927,29000
1,75,3806,11666
1,73,1672,143866
1,69,24792,96466
1,74,2461,111716
1,66,6129,20500
1,67,2496,24650
1,60,2155,98731
1,80,2771,185560
1,62,1845,39280
2,85,4185,121400
2,88,1190,125040
2,107,1666,156966
2,86,43207,35600
2,95,73829,155300
2,92,4889,201166
2,96,3936,240533
2,91,1554,11066
2,115,1223,7900
2,128,2072,163966
2,89,1867,15033
2,102,5914,9142
2,82,5809,7916
2,123,5949,36566
2,127,2021,303916
2,99,6045,66966
2,83,4617,105062
2,94,41808,116933
2,126,4068,36133
2,108,1290,120533
2,103,3239,146433
2,124,3355,41041
2,118,2298,27433
2,121,7252,231916
2,110,1831,404550
2,106,3360,18400
2,119,2079,197200
2,105,3024,24600
2,116,1638,127400
2,125,9627,88000
2,117,2214,38633
2,120,2111,18800
3,165,2878,192280
3,154,14904,54933
3,142,18236,14100
3,176,2482,223866
3,200,6693,47640
3,181,1344,114933
3,139,1585,119666
3,153,9135,9700
3,140,7191,67375
3,167,1207,71840
3,180,1204,70233
3,197,1213,10200
3,178,3868,198666
3,158,1987,17200
3,170,1704,115833
3,149,1093,60250
3,150,15452,6933
3,166,1250,73500
3,143,2458,115333
3,162,1890,150360
3,133,9614,66133
3,132,1547,173633
3,194,1561,29280
3,203,1651,471320
3,138,2361,191633
3,136,2400,71421
3,199,4918,50550
3,129,14313,35140
3,135,2912,82600
3,201,1239,145783
3,155,1932,88788
3,164,3423,37766
3,175,8192,10433
3,204,3158,111960
3,193,1268,7500
3,168,3177,177920
3,195,1210,12500
3,134,1560,312766
3,146,2618,166333
3,171,1284,57433
3,183,2509,253416
3,173,5244,8366
3,145,2772,431666
3,174,9365,14366
3,157,8561,169800
3,130,2795,10800
3,141,1092,88033
3,182,39659,119983
3,202,1496,75533
3,185,2070,82050
3,172,1697,243116
3,186,2021,16466
3,177,3941,182040
4,238,1371,25183
4,256,1955,22720
4,219,1382,14500
4,260,5130,141133
4,259,3067,164150
4,242,2024,80933
4,231,935,89366
4,246,2136,13266
4,209,249,162700
4,208,1056,33933
4,218,1222,139440
4,258,2428,6600
4,214,1178,17866
4,215,1438,113300
4,212,53,225800
4,244,1340,13066
4,230,1263,88640
4,211,4767,68333
4,225,1863,297550
4,250,1334,37266
4,261,3316,356080
4,205,1925,250700
4,262,1709,27266
4,222,2384,97850
4,255,1454,72333
4,226,1283,134920
4,241,1473,145466
4,254,1197,6766
4,229,1211,22800
4,249,2101,31633
4,233,994,219700
4,206,5685,161480
4,217,1452,106160
4,240,1461,102802
4,243,1740,179450
4,251,1431,65233
4,228,967,140466
4,253,12550,132566
4,252,1537,89633
4,247,1072,81633
5,282,1279,118541
5,343,1596,91100
5,274,1813,8733
5,383,1368,97966
5,273,1657,86466
5,400,1756,81333
5,305,1360,23033
5,271,1915,15266
5,362,3787,30300
5,355,2734,46333
5,348,4132,137500
5,289,14392,28500
5,345,3091,249916
5,313,1511,29533
5,359,1409,232800
5,287,1558,20333
5,328,2316,89566
5,354,1375,13933
5,298,1183,79733
5,295,2888,23266
5,303,1389,33500
5,388,84054,115923
5,315,1427,294233
5,276,1438,149730
5,330,1769,57500
5,382,1801,16923
5,356,1831,30500
5,278,1171,66900
5,300,1557,315699
5,379,1237,18700
5,351,1835,29866
5,267,1403,118850
5,310,1597,116133
5,294,3738,59320
5,342,2393,494777
5,312,3760,104883
5,377,1267,147566
5,284,11691,17900
5,283,1435,94866
