user_id,item_id,playing_time_ms,duration_ms
0,5,1105,55533
0,26,832,36733
0,57,1079,201440
0,39,1156,104916
0,36,609,83133
0,50,1065,32150
0,42,724,146200
0,19,2104,13933
0,25,1324,140720
0,18,1533,134734
0,43,1412,26840
0,37,450,110800
0,0,863,30066
0,47,762,73016
0,7,1409,16966
0,53,1108,16033
0,2,1528,25266
0,9,2142,37616
0,54,927,15033
0,33,798,82700
0,20,1075,156120
0,16,947,41000
0,29,1163,111233
0,28,994,14733
0,13,1513,87366
0,56,1605,22900
0,27,1416,10388
0,45,928,6966
0,59,1014,123350
0,10,1162,40633
0,41,753,17633
0,6,1704,7600
0,40,1623,91840
0,51,179,84366
0,22,1114,382566
0,55,690,213433
0,49,774,310000
0,58,686,65382
0,52,848,68400
0,38,1241,113933
0,17,750,38200
0,44,1542,169433
1,72,1927,29000
1,76,3895,87083
1,78,1429,85733
1,79,1530,136766
1,81,1857,31206
1,62,1845,39280
1,77,4127,33533
1,73,1672,143866
1,70,16920,15250
1,67,2496,24650
1,68,1809,123866
1,66,6129,20500
1,69,24792,96466
1,65,66449,61166
1,74,2461,111716
2,126,4068,36133
2,89,1867,15033
2,124,3355,41041
2,91,1554,11066
2,87,32192,35016
2,98,2453,84334
2,116,1638,127400
2,102,5914,9142
2,82,5809,7916
2,100,27732,100450
2,101,3344,253366
2,119,2079,197200
2,95,73829,155300
2,115,1223,7900
2,128,2072,163966
2,104,88100,90533
2,127,2021,303916
2,108,1290,120533
2,109,25540,234100
2,120,2111,18800
2,123,5949,36566
2,107,1666,156966
2,92,4889,201166
2,111,689,89320
2,118,2298,27433
2,121,7252,231916
2,88,1190,125040
2,99,6045,66966
2,125,9627,88000
2,106,3360,18400
2,110,1831,404550
2,84,146853,326466
3,170,1704,115833
3,148,2718,141160
3,131,2271,190166
3,166,1250,73500
3,185,2070,82050
3,139,1585,119666
3,176,2482,223866
3,180,1204,70233
3,177,3941,182040
3,202,1496,75533
3,130,2795,10800
3,178,3868,198666
3,134,1560,312766
3,200,6693,47640
3,162,1890,150360
3,192,1519,30560
3,149,1093,60250
3,157,8561,169800
3,181,1344,114933
3,150,15452,6933
3,169,2664,120960
3,158,1987,17200
3,201,1239,145783
3,154,14904,54933
3,138,2361,191633
3,147,6768,13816
3,155,1932,88788
3,172,1697,243116
3,199,4918,50550
3,129,14313,35140
3,156,1445,253533
3,136,2400,71421
3,173,5244,8366
3,174,9365,14366
3,184,2743,221733
3,145,2772,431666
3,168,3177,177920
3,142,18236,14100
3,188,5375,9862
3,140,7191,67375
3,135,2912,82600
3,187,1679,70483
3,198,3690,168833
3,179,1701,19166
3,151,1480,283766
3,160,2133,89172
3,165,2878,192280
3,171,1284,57433
3,195,1210,12500
3,203,1651,471320
3,189,1195,73966
3,133,9614,66133
3,167,1207,71840
4,210,3795,660766
4,230,1263,88640
4,260,5130,141133
4,242,2024,80933
4,256,1955,22720
4,253,12550,132566
4,250,1334,37266
4,224,2110,7966
4,246,2136,13266
4,223,1588,68366
4,257,2815,31500
4,234,1315,218433
4,205,1925,250700
4,238,1371,25183
4,212,53,225800
4,241,1473,145466
4,207,1758,63000
4,214,1178,17866
4,225,1863,297550
4,259,3067,164150
4,221,2081,22566
4,233,994,219700
4,232,1561,18950
4,218,1222,139440
4,247,1072,81633
4,231,935,89366
4,249,2101,31633
4,262,1709,27266
4,215,1438,113300
4,245,1862,100500
4,211,4767,68333
4,244,1340,13066
4,254,1197,6766
4,227,1706,189866
4,258,2428,6600
4,252,1537,89633
4,261,3316,356080
4,255,1454,72333
4,243,1740,179450
4,222,2384,97850
5,323,4096,154988
5,263,1960,104466
5,398,1363,110133
5,397,1184,186200
5,382,1801,16923
5,296,1237,68866
5,365,6744,182466
5,312,3760,104883
